Dropout,Epoch,EpochValAcc,FinalTestAcc
0,1,0.7548,0.7071957427117076
0,2,0.7432,0.7071957427117076
0,3,0.7262,0.7071957427117076
0,4,0.7171,0.7071957427117076
0,5,0.7149,0.7071957427117076
0.1,1,0.7569,0.6985963288600956
0.1,2,0.7442,0.6985963288600956
0.1,3,0.7337,0.6985963288600956
0.1,4,0.7128,0.6985963288600956
0.1,5,0.6986,0.6985963288600956
0.2,1,0.7567,0.7105892333796082
0.2,2,0.7444,0.7105892333796082
0.2,3,0.7232,0.7105892333796082
0.2,4,0.7110,0.7105892333796082
0.2,5,0.7127,0.7105892333796082
0.3,1,0.7550,0.7135199753200678
0.3,2,0.7486,0.7135199753200678
0.3,3,0.7320,0.7135199753200678
0.3,4,0.7221,0.7135199753200678
0.3,5,0.7203,0.7135199753200678
0.4,1,0.7565,0.7158722813512263
0.4,2,0.7441,0.7158722813512263
0.4,3,0.7328,0.7158722813512263
0.4,4,0.7358,0.7158722813512263
0.4,5,0.7252,0.7158722813512263
0.5,1,0.7549,0.7177232762609903
0.5,2,0.7462,0.7177232762609903
0.5,3,0.7418,0.7177232762609903
0.5,4,0.7295,0.7177232762609903
0.5,5,0.7225,0.7177232762609903
0.6,1,0.7563,0.7319913620237545
0.6,2,0.7503,0.7319913620237545
0.6,3,0.7463,0.7319913620237545
0.6,4,0.7388,0.7319913620237545
0.6,5,0.7342,0.7319913620237545
0.7,1,0.7566,0.7427117075428042
0.7,2,0.7539,0.7427117075428042
0.7,3,0.7496,0.7427117075428042
0.7,4,0.7446,0.7427117075428042
0.7,5,0.7424,0.7427117075428042
0.8,1,0.7552,0.7447555144223353
0.8,2,0.7540,0.7447555144223353
0.8,3,0.7505,0.7447555144223353
0.8,4,0.7501,0.7447555144223353
0.8,5,0.7497,0.7447555144223353
0.9,1,0.7543,0.7453339503316366
0.9,2,0.7523,0.7453339503316366
0.9,3,0.7511,0.7453339503316366
0.9,4,0.7487,0.7453339503316366
0.9,5,0.7521,0.7453339503316366